hash	English	old Russian	official Russian	status	detail
3175296555	Deya Village Ruins	Руины деревни Дейя	Руины деревни Дейя	SAME	
1277840484	Akkala Span	Мост Аккала	Аккальский мост	CHANGED	duplicate English text has identical Russian translation
3380786840	Akkala Parade Ground Ruins	Руины парадной площади Аккала	Аккальский плац	CHANGED	
3471586645	Akkala Citadel Ruins	Руины цитадели Аккала	Аккальская крепость	CHANGED	
1557062097	Akkala Bridge Ruins	Руины моста Аккала	Крепостной мост	CHANGED	
3762260647	Akkala Ancient Tech Lab	Лаборатория древних технологий Аккала	Аккальский институт	CHANGED	
3129975788	Yiga Clan Hideout	Убежище клана Йига	Логово клана Ига	CHANGED	
2875850637	Big Twin Bridge	Большой мост-близнец	Мост Старшего Брата	CHANGED	
2233665734	Ancient Tree Stump	Древний пень	Древний дуб	CHANGED	
408278108	Spring of Courage	Источник мужества	Источник Храбрости	CHANGED	
2071209971	Warbler's Nest	Гнездо славки	Гнездо Певчих	CHANGED	
1945958513	Sacred Ground Ruins	Руины священной земли	Священный Сад	CHANGED	
4105639798	Exchange Ruins	Руины торговой площади	Рынок	CHANGED	
3644406989	Goponga Village Ruins	Руины деревни Гопонга	Руины деревни Гопонга	SAME	
2514169964	Eventide Island	Остров Эвентайд	о. Вечерний	CHANGED	
1654508868	Korok Forest	Лес короков	Лес Короков	CHANGED	
4144644213	Coliseum Ruins	Руины Колизея	Колизей	CHANGED	
595217802	Foothill Stable	Предгорная конюшня	Конюшня «У подножия»	CHANGED	
3125991913	Maw of Death Mountain	Устье Горы Смерти	Путь на Гору Смерти	CHANGED	
713543009	Luto's Crossing	Переправа Луто	Переправа Ларуто	CHANGED	
507651319	Dragon Bone Mire	Драконье костяное болото	Драконьи топи	CHANGED	
3553951309	East Reservoir Lake	Восточное водохранилище	Восточная Чаша	CHANGED	
1323059506	East Gerudo Ruins	Восточные руины Герудо	Ост-Герудские руины	CHANGED	
2431624464	East Post Ruins	Руины восточного поста	Восточные дворы	CHANGED	
2478980063	Castle Town Prison	Тюрьма города-замка	Посадская тюрьма	CHANGED	
